,title,description,price,color,gender,imageUrl,brand,composition,repreve,hemp,polyester,lyocell,tencel,cotton,fairtrade
0,Lorax Unless T-Shirt,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.",40.0,TWILIGHT BLUE,men,https://cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-23151.jpg?v=1634833590,tentree,"45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton",0.45,0.0,0.0,0.0,0.3,0.25,0.0
1,Lorax Unless T-Shirt,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.",40.0,TWILIGHT BLUE,men,https://cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-23151.jpg?v=1634833590,tentree,"45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton",0.45,0.0,0.0,0.0,0.3,0.25,0.0
2,Lorax Unless T-Shirt,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.",40.0,TWILIGHT BLUE,men,https://cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-23151.jpg?v=1634833590,tentree,"45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton",0.45,0.0,0.0,0.0,0.3,0.25,0.0
3,Lorax Unless T-Shirt,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.",40.0,TWILIGHT BLUE,men,https://cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-23151.jpg?v=1634833590,tentree,"45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton",0.45,0.0,0.0,0.0,0.3,0.25,0.0
4,Lorax Unless T-Shirt,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.",40.0,METEORITE BLACK,men,https://cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-01641.jpg?v=1634833590,tentree,"45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton",0.45,0.0,0.0,0.0,0.3,0.25,0.0
5,Lorax Unless T-Shirt,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.",40.0,METEORITE BLACK,men,https://cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-01641.jpg?v=1634833590,tentree,"45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton",0.45,0.0,0.0,0.0,0.3,0.25,0.0
6,Lorax Unless T-Shirt,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.",40.0,METEORITE BLACK,men,https://cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-01641.jpg?v=1634833590,tentree,"45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton",0.45,0.0,0.0,0.0,0.3,0.25,0.0
7,Lorax Unless T-Shirt,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.",40.0,METEORITE BLACK,men,https://cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-01641.jpg?v=1634833590,tentree,"45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton",0.45,0.0,0.0,0.0,0.3,0.25,0.0
8,Lorax Unless T-Shirt,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.",40.0,METEORITE BLACK,men,https://cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-01641.jpg?v=1634833590,tentree,"45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton",0.45,0.0,0.0,0.0,0.3,0.25,0.0
9,Lorax Unless T-Shirt,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.",40.0,DEEP JUNGLE,men,https://cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-23121.jpg?v=1634833590,tentree,"45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton",0.45,0.0,0.0,0.0,0.3,0.25,0.0
